mep_id,mep_name,group,Timothy Kirkhope Am 55,Timothy Kirkhope Am 53PC = Bloc 1,Timothy Kirkhope Am 53PC Art 2,Timothy Kirkhope Am 53PC Art 3.3,Timothy Kirkhope Am 53PC Art 3.9,Timothy Kirkhope Am 59,Timothy Kirkhope Am 53PC Art 6 §1,Timothy Kirkhope Am 53PC Art 6 §9/1,Timothy Kirkhope Am 53PC Art 6 §9/2,Timothy Kirkhope Am 53PC Art 8 §1/1,Timothy Kirkhope Am 53PC Art 8 §1/2,Timothy Kirkhope Am 54,Timothy Kirkhope Am 53PC Art 9 §1,Timothy Kirkhope Am 53PC Art 12,Timothy Kirkhope Am 61,Timothy Kirkhope Am 53PC Art 19 §3,Timothy Kirkhope Am 53PC Recital 10,Timothy Kirkhope Am 53PC Recital 32,Timothy Kirkhope Proposition modifiée,Timothy Kirkhope Résolution législative,Constance Le Grip Am 3,Constance Le Grip Résolution législative,Indrek Tarand Am 16,Indrek Tarand § 26,Indrek Tarand Am 3,Indrek Tarand Am 1,Indrek Tarand Am 28,Indrek Tarand § 37,Indrek Tarand § 38,Indrek Tarand Am 2,Indrek Tarand Am 22,Indrek Tarand Am 4,Indrek Tarand Am 5,Indrek Tarand Am 24,Indrek Tarand Résolution,Am 9,Am 19,Am 20,§ 5,Am 21,Am 22=37,Am 23,Am 10,Am 24,Am 25,Am 26,Am 27,Am 28,Am 29,Am 30,Am 31,Am 15,Am 47,Am 17,Am 34,Résolution,§ 1,§ 2,§ 7/2,§ 26/2,Tamás Meszerics § 2,Tamás Meszerics § 3/1,Tamás Meszerics § 3/2,Tamás Meszerics § 4,Tamás Meszerics § 8,Tamás Meszerics § 34/1,Tamás Meszerics § 34/2,Tamás Meszerics § 49/1,Tamás Meszerics § 49/2,Tamás Meszerics § 71,Tamás Meszerics Considérant H,Tamás Meszerics Résolution,Nirj Deva § 32/1,Nirj Deva § 32/2,Nirj Deva Résolution
4f1ac9a7b819f25efd000148,Koch,PPE,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,Against,For,Against,Against,Against,Against,Against,For,Against,For,Against,For,Against,For,For,Abstain,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,For,For,For,For,For,For,Against,For,For,Against,Against,For,For,For,For,For,For,Against,For
4f1ac8d3b819f25efd0000f6,Hadjigeorgiou,GUE/NGL,For,Against,Against,Against,Against,For,Against,Against,Against,For,Against,For,Against,Against,For,Against,Against,Against,Against,Against,For,Against,Against,Abstain,For,Against,For,Abstain,Against,Against,For,For,Abstain,Against,,Against,For,For,Against,For,For,For,Abstain,For,For,For,For,For,For,For,For,Against,Against,Against,For,Abstain,,,,,,,,,,,,,,,,,,,
53ba82d2b819f24b330001b9,Vilimsky,ENF,Against,,Abstain,Abstain,Abstain,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Abstain,Against,Against,Against,Against,For,Abstain,For,Abstain,Abstain,For,Abstain,For,Abstain,For,Abstain,Abstain,Abstain,For,Against,For,Against,Against,Against,Against,Abstain,Against,For,Against,Abstain,Abstain,For,Against,Against,Abstain,Abstain,For,Against,For,Against,Against,Against,Against,Against,For,Against,Against,Against,Against,Abstain,Abstain,Against,Abstain,Against,Against,Abstain,Against,,,For
4f1ac739b819f25efd000074,Comi,PPE,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,Against,Against,Against,Against,For,Against,For,Against,For,Against,For,For,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,,,,,,,,,,,,,,,,,,,
54f901eed1d1c563a7000000,Urbán Crespo,GUE/NGL,For,Against,Against,Against,Against,For,Against,For,Against,Abstain,Against,Abstain,Against,Against,For,Against,Against,Against,Against,Against,For,Against,Against,For,For,Against,For,For,Against,Against,For,For,For,Abstain,For,Against,For,For,For,For,For,For,Against,For,For,For,For,For,For,For,For,Against,Against,Against,For,Abstain,Abstain,Abstain,Against,Against,For,For,For,For,For,For,For,For,For,For,For,For,For,For,Against
4f1adc56b819f207b3000111,Vaughan,S&D,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,Against,For,For,,For,For,For,,For,Against,Abstain,For,Against,Against,Against,Against,For,Against,For,Against,Against,For,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,For,For,For,Against,For,For,For,For,For,For,For,For,For,For,For,For,,,
4f1c20e2b819f267af000016,Jáuregui Atondo,S&D,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,For,For,For,Against,For,Abstain,For,Against,For,Against,For,Against,For,Against,Against,Against,For,Against,For,Against,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,For,For,For,,,,,,,,,,,,,,,,
55a5a860d1d1c51b0b000000,Maullu,PPE,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,Against,For,Against,Against,Against,For,Against,For,Against,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,,For,For,For,For,For,For,Against,,For,Against,,For,For,For,For,,For,Against,
53b2d767b819f205b000001a,Becerra Basterrechea,ALDE,Against,For,For,For,For,Against,For,For,For,For,For,For,For,For,Against,For,For,For,For,For,Against,For,For,For,For,Against,For,For,For,Against,For,Against,For,For,Against,Against,Against,Against,For,Against,Against,Against,For,For,Against,Against,Against,Against,Against,Against,Against,Against,For,Against,Against,For,For,For,For,For,For,For,Against,For,For,For,For,For,For,For,For,For,For,For,For
53b2dfd8b819f205b0000123,Seymour,EFDD,For,Against,Abstain,Abstain,Against,Abstain,Abstain,Against,,Abstain,Abstain,Abstain,Against,Against,For,For,Abstain,Against,Against,Against,For,Against,For,Against,For,For,For,For,For,For,For,Against,For,For,Against,For,Abstain,For,Against,For,For,Abstain,For,For,For,Abstain,Abstain,Abstain,Against,Against,Abstain,For,Abstain,For,Abstain,Against,Against,Against,Against,Abstain,Abstain,Against,Against,Abstain,Abstain,Against,Against,Abstain,Against,Against,Abstain,Against,Against,Against,Against
53b2da74b819f205b0000076,Grapini,S&D,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,Against,For,Against,Against,For,For,For,Against,For,Against,For,Against,For,Against,Against,Against,For,Against,For,Against,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,For,For,For,Against,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For
53b2dde9b819f205b00000d6,Monteiro de Aguiar,PPE,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,Against,Against,Against,Against,For,,For,Against,For,Against,For,For,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,,,,,,,,,,,,,,,,,,,
53ba83d6b819f24b330001d5,Zdechovský,PPE,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,Against,Against,Against,Against,For,Against,For,Against,For,Against,For,For,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,For,For,For,For,For,Against,For,For,Against,Against,For,For,For,For,For,For,Against,For
53ba8202b819f24b3300019d,Troszczynski,ENF,For,Against,Against,Against,Against,Against,For,Against,Against,Against,Against,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,For,For,Abstain,For,For,For,Against,For,For,For,Abstain,For,For,Against,For,Abstain,For,Against,For,Abstain,Abstain,For,For,Abstain,Abstain,Abstain,Against,Against,Against,Against,For,Against,For,Against,Against,Against,Against,Against,Abstain,Abstain,Against,Against,For,For,For,Against,For,Against,Against,For,Against,Abstain,Abstain,Against
4f1ad9cbb819f207b3000037,Moraes,S&D,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,For,For,For,Abstain,For,For,For,Abstain,For,Against,Abstain,Against,Against,Against,Against,Against,For,Against,For,Against,Against,For,Against,Against,Against,Against,Against,Against,,Against,Against,Against,Against,For,For,For,For,Against,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For
53b2dd73b819f205b00000c4,Martusciello,PPE,Against,For,For,For,For,For,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,Against,Against,Against,Against,For,Against,For,For,For,Against,For,For,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,,,,,,,,,,,,,,,,,,,
53b2dc31b819f205b00000a2,Kozłowska-Rajewicz,PPE,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,Against,Against,Against,Against,For,Against,For,Against,For,Against,For,For,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,,,,,,,,,,,,,,,,,,,
51ec5f67b819f25752000365,Kuźmiuk,ECR,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,Abstain,Abstain,For,For,For,For,Abstain,Against,Abstain,Abstain,Abstain,For,For,Against,Against,For,Against,Against,For,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Abstain,For,Against,Against,Abstain,For,For,For,For,,,,,,,,,,,,,,,
51d21274b819f23b5b000007,Stier,PPE,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,Against,For,Against,Against,Against,Against,Against,For,Against,For,Against,For,Against,For,For,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,For,For,For,For,,,,,,,,,,,,,,,
4f1ac8f9b819f25efd000103,Häusling,Verts/ALE,For,Against,Against,Against,Against,For,Against,For,Against,For,Against,For,Against,Against,For,Against,Against,Against,Against,Against,For,Against,Against,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,Against,Against,For,Against,Against,Against,For,For,Against,Abstain,For,For,Abstain,For,Against,Against,For,Against,For,For,For,For,For,Against,For,For,For,For,For,For,For,For,For,For,For,For,For,For,Abstain
53b2dab5b819f205b000007b,Halla-aho,ECR,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,For,For,For,For,For,For,For,Against,Against,Against,Against,Against,Against,For,Against,,For,Against,For,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,For,For,For,Against,For,For,For,For,For,Against,Abstain,Against,Against,Against,For,Against,Against,Against,Against,For,Against,For,Against,For
4f1ac463b819f2589600000d,Kovatchev,PPE,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,Against,For,Against,Against,Against,Against,,For,Against,For,Against,For,Against,For,For,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Abstain,For,For,For,For,,,,,,,,,,,,,,,
53b2de42b819f205b00000e8,Ní Riada,GUE/NGL,For,Against,Against,Against,Against,For,Against,For,Against,For,Against,For,Against,Against,For,Against,Against,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,Against,For,For,For,For,Against,Against,For,For,Against,For,For,For,For,For,For,For,For,For,For,For,For,Against,Against,Against,For,Abstain,Abstain,Abstain,Against,Against,For,For,For,For,For,For,For,For,For,For,For,For,,,
53b2dffab819f205b0000128,Šojdrová,PPE,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,Against,Against,Against,Against,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,For,For,For,For,For,Against,For,For,Against,Against,For,For,For,For,For,For,Against,For
51ec5983b819f2575200010c,Corbett,S&D,Against,For,For,For,For,Against,For,For,For,For,For,Against,,For,Against,For,For,For,For,For,Against,For,For,For,For,,For,For,For,,For,Against,For,For,Against,Against,Against,Against,For,Against,For,Against,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,,,,,,,,,,,,,,,,,,,,,,,
4f1ac70db819f25efd000063,Caspary,PPE,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,Against,For,Against,Against,Against,Against,Against,Against,Against,For,Against,For,Against,For,For,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,For,For,For,For,For,For,Against,For,For,Against,Against,For,For,For,For,For,For,Against,For
53b2daa6b819f205b000007a,Guteland,S&D,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,Against,Against,For,Against,Against,For,For,Against,For,Abstain,For,Against,Abstain,Against,Against,Against,For,Against,For,Against,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,,,,,,,,,,,,,,,,,,,,
56279c6bd1d1c53978000000,Selimovic,ALDE,Against,For,For,For,For,Against,For,For,For,For,For,For,For,For,Against,For,For,For,For,For,Against,For,For,For,Against,Against,,For,For,Against,Against,Against,Against,Against,Against,Against,,For,,,,,For,For,Abstain,Against,Abstain,Against,Against,Against,Against,Against,For,Against,Against,For,For,For,For,For,Against,For,Against,For,Against,For,For,Against,For,For,For,Against,For,For,For
53b2d788b819f205b000001e,Bettini,S&D,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,Against,For,For,Against,For,For,For,Against,For,Against,For,Against,For,Against,Against,Against,For,Against,For,Against,Against,For,Against,Against,For,For,Against,Against,Against,,Against,Against,For,For,For,For,For,Against,For,For,For,For,For,For,For,For,,For,For,,For,For,
4f1adc93b819f207b3000126,Westphal,S&D,Against,Against,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,Against,Against,Against,For,Against,For,Against,Against,For,,For,Against,For,Against,Against,Against,For,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ff717aeb819f245c4000000,Torvalds,ALDE,Against,For,For,For,For,Against,For,For,For,For,For,For,For,For,Against,For,For,For,For,For,Against,For,For,For,Against,Against,Against,For,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,Against,Against,Against,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,For,Against,Against,For,,For,For,For,For,For,Against,For,Against,For,For,Against,Against,For,For,For,For,For,
4f1adb40b819f207b30000b4,Schwab,PPE,Against,For,For,For,For,Against,For,For,,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,Against,For,Against,Against,For,Against,For,Against,Against,Against,Against,Against,For,Against,For,Against,For,Against,For,For,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,For,For,For,For,For,For,Against,For,For,Against,Against,For,For,For,For,For,,Against,For
53b2dc4cb819f205b00000a4,Kumpula-Natri,S&D,,For,For,For,For,Abstain,For,For,For,For,For,For,For,Abstain,Abstain,For,For,For,For,For,Against,For,Against,For,Abstain,Against,Against,For,For,Against,For,Against,Abstain,Against,For,Against,Against,Abstain,For,Against,For,Against,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,For,For,For,Against,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For
4f1ac7f1b819f25efd0000ba,Fernandes,PPE,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,Abstain,For,Against,Against,Against,Against,Against,For,Against,,Against,For,Against,For,For,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,For,For,For,For,For,For,Against,For,For,Against,Against,For,For,For,For,For,For,Against,For
4f1ac7b7b819f25efd0000a4,Ehler,PPE,Against,For,For,For,For,Against,For,For,For,For,For,For,For,For,Against,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,Against,For,Against,Against,Against,Against,Against,For,Against,For,Against,For,Against,For,For,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,,For,For,For,For,For,For,Against,Against,For,,,,,,,,,,,
53ba8325b819f24b330001c3,Ward,S&D,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,For,For,For,Abstain,For,For,For,,For,Against,Abstain,For,Against,Against,Against,Against,For,Against,For,Against,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,For,For,For,Against,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For
53b2dc9cb819f205b00000ad,Lavrilleux,PPE,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,Against,For,Against,Against,Against,Against,Against,For,Against,For,Against,Abstain,Against,For,For,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,For,For,For,For,For,Against,For,For,For,For,For,For,For,For,For,For,Against,For
4f1ac842b819f25efd0000d9,Gierek,S&D,Against,For,For,For,For,Against,For,For,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,Against,For,For,Against,For,For,For,Against,For,Against,Against,Against,For,Against,Against,Against,For,Against,For,Against,Against,For,Against,Against,Against,,,,,,,,,,,,,,,,,,,,,,,,,,,,
